	37067_Htz1_i5006_BY4741_Htz1-TAP_YPD_-_BX__Sua7_SORT-DistSua7toStart_1000bp__5read1_anti.cdt.gz	37067_Htz1_i5006_BY4741_Htz1-TAP_YPD_-_BX__Sua7_SORT-DistSua7toStart_1000bp__5read1_sense.cdt.gz	37067_Htz1_i5006_BY4741_Htz1-TAP_YPD_-_BX__Sua7_SORT-DistSua7toStart_1000bp__5read2_anti.cdt.gz	37067_Htz1_i5006_BY4741_Htz1-TAP_YPD_-_BX__Sua7_SORT-DistSua7toStart_1000bp__5read2_sense.cdt.gz
YLL022C	1054.0	660.0	677.0	1077.0
YJL027C	573.0	610.0	577.0	548.0
YJL093C	996.0	886.0	1004.0	577.0
YHR022C-A	520.0	442.0	424.0	544.0
YDR004W	388.0	271.0	271.0	377.0
YDR305C	351.0	370.0	345.0	397.0
YPR082C	883.0	535.0	513.0	893.0
YHR198C	412.0	520.0	521.0	382.0
YBR073W	750.0	955.0	959.0	640.0
YBL059W	427.0	335.0	318.0	484.0
YLR408C	678.0	386.0	362.0	649.0
